AElig 000C6 
AMP 00026 
Aacute 000C1 
Abreve 00102 
Acirc 000C2 
Acy 00410 
Afr 1D504 
Agrave 000C0 
Alpha 00391 
Amacr 00100 
And 02A53 
Aogon 00104 
Aopf 1D538 
ApplyFunction 02061 
Aring 000C5 
Ascr 1D49C 
Assign 02254 
Atilde 000C3 
Auml 000C4 
Backslash 02216 
Barv 02AE7 
Barwed 02306 
Bcy 00411 
Because 02235 
Bernoullis 0212C 
Beta 00392 
Bfr 1D505 
Bopf 1D539 
Breve 002D8 
Bscr 0212C 
Bumpeq 0224E 
CHcy 00427 
COPY 000A9 
Cacute 00106 
Cap 022D2 
CapitalDifferentialD 02145 
Cayleys 0212D 
Ccaron 0010C 
Ccedil 000C7 
Ccirc 00108 
Cconint 02230 
Cdot 0010A 
Cedilla 000B8 
CenterDot 000B7 
Cfr 0212D 
Chi 003A7 
CircleDot 02299 
CircleMinus 02296 
CirclePlus 02295 
CircleTimes 02297 
ClockwiseContourIntegral 02232 
CloseCurlyDoubleQuote 0201D 
CloseCurlyQuote 02019 
Colon 02237 
Colone 02A74 
Congruent 02261 
Conint 0222F 
ContourIntegral 0222E 
Copf 02102 
Coproduct 02210 
CounterClockwiseContourIntegral 02233 
Cross 02A2F 
Cscr 1D49E 
Cup 022D3 
CupCap 0224D 
DD 02145 
DDotrahd 02911 
DJcy 00402 
DScy 00405 
DZcy 0040F 
Dagger 02021 
Darr 021A1 
Dashv 02AE4 
Dcaron 0010E 
Dcy 00414 
Del 02207 
Delta 00394 
Dfr 1D507 
DiacriticalAcute 000B4 
DiacriticalDot 002D9 
DiacriticalDoubleAcute 002DD 
DiacriticalGrave 00060 
DiacriticalTilde 002DC 
Diamond 022C4 
DifferentialD 02146 
Dopf 1D53B 
Dot 000A8 
DotDot 020DC 
DotEqual 02250 
DoubleContourIntegral 0222F 
DoubleDot 000A8 
DoubleDownArrow 021D3 
DoubleLeftArrow 021D0 
DoubleLeftRightArrow 021D4 
DoubleLeftTee 02AE4 
DoubleLongLeftArrow 027F8 
DoubleLongLeftRightArrow 027FA 
DoubleLongRightArrow 027F9 
DoubleRightArrow 021D2 
DoubleRightTee 022A8 
DoubleUpArrow 021D1 
DoubleUpDownArrow 021D5 
DoubleVerticalBar 02225 
DownArrow 02193 
DownArrowBar 02913 
DownArrowUpArrow 021F5 
DownBreve 00311 
DownLeftRightVector 02950 
DownLeftTeeVector 0295E 
DownLeftVector 021BD 
DownLeftVectorBar 02956 
DownRightTeeVector 0295F 
DownRightVector 021C1 
DownRightVectorBar 02957 
DownTee 022A4 
DownTeeArrow 021A7 
Downarrow 021D3 
Dscr 1D49F 
Dstrok 00110 
ENG 0014A 
ETH 000D0 
Eacute 000C9 
Ecaron 0011A 
Ecirc 000CA 
Ecy 0042D 
Edot 00116 
Efr 1D508 
Egrave 000C8 
Element 02208 
Emacr 00112 
EmptySmallSquare 025FB 
EmptyVerySmallSquare 025AB 
Eogon 00118 
Eopf 1D53C 
Epsilon 00395 
Equal 02A75 
EqualTilde 02242 
Equilibrium 021CC 
Escr 02130 
Esim 02A73 
Eta 00397 
Euml 000CB 
Exists 02203 
ExponentialE 02147 
Fcy 00424 
Ffr 1D509 
FilledSmallSquare 025FC 
FilledVerySmallSquare 025AA 
Fopf 1D53D 
ForAll 02200 
Fouriertrf 02131 
Fscr 02131 
GJcy 00403 
GT 0003E 
Gamma 00393 
Gammad 003DC 
Gbreve 0011E 
Gcedil 00122 
Gcirc 0011C 
Gcy 00413 
Gdot 00120 
Gfr 1D50A 
Gg 022D9 
Gopf 1D53E 
GreaterEqual 02265 
GreaterEqualLess 022DB 
GreaterFullEqual 02267 
GreaterGreater 02AA2 
GreaterLess 02277 
GreaterSlantEqual 02A7E 
